Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
																												3.200	61.610	37.350	-1.745	0.8825	0.535	-0.025	3.200	81.646	-3.491	-8.727	1.1695	-0.050	-0.125
																												3.250	63.478	37.176	-5.236	0.9092	0.532	-0.075	3.250	81.455	-4.363	-20.944	1.1668	-0.062	-0.300
																												3.300	65.328	36.826	-3.491	0.9358	0.527	-0.050	3.300	81.210	-5.585	-24.435	1.1633	-0.080	-0.350
																												3.350	67.160	36.826	-1.421E-12	0.9620	0.528	1.110E-14	3.350	80.896	-6.807	-17.453	1.1588	-0.098	-0.250
																												3.400	69.010	36.826	-3.491	0.9885	0.528	-0.050	3.400	80.529	-7.330	-1.745	1.1535	-0.105	-0.025
																												3.450	70.843	36.477	-5.236	1.0148	0.523	-0.075	3.450	80.163	-6.981	6.981	1.1483	-0.100	0.100
																												3.500	72.658	36.303	-1.745	1.0408	0.520	-0.025	3.500	79.831	-6.632	6.981	1.1435	-0.095	0.100
																												3.550	74.473	36.303	-1.745	1.0668	0.520	-0.025	3.550	79.500	-6.283	5.236	1.1388	-0.090	0.075
																												3.600	76.288	36.128	-22.689	1.0928	0.517	-0.325	3.600	79.203	-6.109	1.745	1.1345	-0.087	0.025
																												3.650	78.086	34.034	-76.794	1.1185	0.487	-1.100	3.650	78.889	-6.109	3.491	1.1300	-0.088	0.050
