Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
1.550	6.231	8.901	6.981	0.0892	0.127	0.100	1.550	5.882	8.552	6.981	0.0842	0.122	0.100	1.550	6.196	8.727	6.981	0.0887	0.125	0.100	1.550	5.969	8.727	8.727	0.0855	0.125	0.125	1.550	6.021	8.727	6.981	0.0863	0.125	0.100
1.600	6.685	9.250	5.236	0.0958	0.133	0.075	1.600	6.318	8.901	5.236	0.0905	0.127	0.075	1.600	6.650	9.250	6.981	0.0952	0.133	0.100	1.600	6.423	9.076	5.236	0.0920	0.130	0.075	1.600	6.475	9.076	5.236	0.0927	0.130	0.075
1.650	7.156	9.425	5.236	0.1025	0.135	0.075	1.650	6.772	9.076	3.491	0.0970	0.130	0.050	1.650	7.121	9.425	5.236	0.1020	0.135	0.075	1.650	6.877	9.250	3.491	0.0985	0.132	0.050	1.650	6.929	9.250	5.236	0.0992	0.132	0.075
1.700	7.627	9.774	6.981	0.1092	0.140	0.100	1.700	7.226	9.250	6.981	0.1035	0.133	0.100	1.700	7.592	9.774	6.981	0.1087	0.140	0.100	1.700	7.348	9.425	5.236	0.1052	0.135	0.075	1.700	7.400	9.599	6.981	0.1060	0.138	0.100
1.750	8.133	10.123	6.981	0.1165	0.145	0.100	1.750	7.697	9.774	8.727	0.1102	0.140	0.125	1.750	8.098	10.123	5.236	0.1160	0.145	0.075	1.750	7.819	9.774	8.727	0.1120	0.140	0.125	1.750	7.889	9.948	6.981	0.1130	0.143	0.100
1.800	8.639	10.472	6.981	0.1237	0.150	0.100	1.800	8.203	10.123	5.236	0.1175	0.145	0.075	1.800	8.604	10.297	5.236	0.1232	0.147	0.075	1.800	8.325	10.297	6.981	0.1193	0.147	0.100	1.800	8.395	10.297	6.981	0.1202	0.147	0.100
1.850	9.180	10.821	5.236	0.1315	0.155	0.075	1.850	8.709	10.297	3.491	0.1247	0.147	0.050	1.850	9.128	10.647	6.981	0.1308	0.153	0.100	1.850	8.849	10.472	5.236	0.1268	0.150	0.075	1.850	8.919	10.647	5.236	0.1278	0.153	0.075
1.900	9.721	10.996	5.236	0.1393	0.157	0.075	1.900	9.233	10.472	5.236	0.1322	0.150	0.075	1.900	9.669	10.996	5.236	0.1385	0.157	0.075	1.900	9.372	10.821	6.981	0.1342	0.155	0.100	1.900	9.460	10.821	5.236	0.1355	0.155	0.075
1.950	10.280	11.345	5.236	0.1472	0.163	0.075	1.950	9.756	10.821	6.981	0.1398	0.155	0.100	1.950	10.228	11.170	5.236	0.1465	0.160	0.075	1.950	9.931	11.170	5.236	0.1423	0.160	0.075	1.950	10.001	11.170	6.981	0.1433	0.160	0.100
2.000	10.856	11.519	5.236	0.1555	0.165	0.075	2.000	10.315	11.170	6.981	0.1477	0.160	0.100	2.000	10.786	11.519	6.981	0.1545	0.165	0.100	2.000	10.489	11.345	5.236	0.1502	0.162	0.075	2.000	10.577	11.519	5.236	0.1515	0.165	0.075
