Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
1.050	0.000	0.000	0.000	0.0000	0.000	0.000																						1.050	5.760	12.566	12.217	0.0825	0.180	0.175	1.050	19.164	30.020	24.435	0.2745	0.430	0.350	1.050	5.812	12.566	12.217	0.0833	0.180	0.175	1.050	7.645	14.137	12.217	0.1095	0.202	0.175
1.100	0.000	0.000	0.000	0.0000	0.000	0.000																						1.100	6.405	13.090	12.217	0.0917	0.187	0.175	1.100	20.700	31.241	22.689	0.2965	0.447	0.325	1.100	6.458	13.090	12.217	0.0925	0.187	0.175	1.100	8.360	14.661	13.963	0.1197	0.210	0.200
1.150	0.000	0.000	0.000	0.0000	0.000	0.000																						1.150	7.069	13.788	13.963	0.1012	0.197	0.200	1.150	22.288	32.289	19.199	0.3193	0.462	0.275	1.150	7.121	13.788	15.708	0.1020	0.197	0.225	1.150	9.111	15.533	15.708	0.1305	0.222	0.225
1.200	0.000	0.000	0.000	0.0000	0.000	0.000																						1.200	7.784	14.486	12.217	0.1115	0.208	0.175	1.200	23.928	33.161	19.199	0.3427	0.475	0.275	1.200	7.837	14.661	15.708	0.1122	0.210	0.225	1.200	9.913	16.232	10.472	0.1420	0.233	0.150
1.250	0.000	0.000	0.000	0.0000	0.000	0.000																						1.250	8.517	15.010	12.217	0.1220	0.215	0.175	1.250	25.604	34.208	15.708	0.3668	0.490	0.225	1.250	8.587	15.359	12.217	0.1230	0.220	0.175	1.250	10.734	16.581	10.472	0.1537	0.238	0.150
1.300	0.000	0.000	0.000	0.0000	0.000	0.000																						1.300	9.285	15.708	13.963	0.1330	0.225	0.200	1.300	27.349	34.732	8.727	0.3917	0.497	0.125	1.300	9.372	15.882	12.217	0.1342	0.227	0.175	1.300	11.572	17.279	13.963	0.1657	0.247	0.200
1.350	0.000	0.000	0.000	0.0000	0.000	0.000																						1.350	10.088	16.406	13.963	0.1445	0.235	0.200	1.350	29.077	35.081	13.963	0.4165	0.502	0.200	1.350	10.175	16.581	13.963	0.1457	0.237	0.200	1.350	12.462	17.977	13.963	0.1785	0.257	0.200
1.400	0.000	0.000	0.000	0.0000	0.000	0.000																						1.400	10.926	17.104	13.963	0.1565	0.245	0.200	1.400	30.857	36.128	20.944	0.4420	0.517	0.300	1.400	11.030	17.279	12.217	0.1580	0.247	0.175	1.400	13.369	18.675	13.963	0.1915	0.268	0.200
1.450	0.000	0.000	0.000	0.0000	0.000	0.000																						1.450	11.798	17.802	12.217	0.1690	0.255	0.175	1.450	32.690	37.176	20.944	0.4682	0.533	0.300	1.450	11.903	17.802	12.217	0.1705	0.255	0.175	1.450	14.329	19.373	12.217	0.2052	0.278	0.175
1.500	0.000	0.000	0.000	0.0000	0.000	0.000																						1.500	12.706	18.326	10.472	0.1820	0.263	0.150	1.500	34.575	38.223	22.689	0.4953	0.548	0.325	1.500	12.811	18.500	13.963	0.1835	0.265	0.200	1.500	15.307	19.897	12.217	0.2193	0.285	0.175
